iter	RMSE
0	32338.72269
1	30344.53257
2	28897.83691
3	27288.76383
4	25877.60478
5	24776.08865
6	23803.87112
7	22901.78526
8	22035.07317
9	21325.44885
10	20763.15568
11	20335.51055
12	19962.86196
13	19478.39366
14	19105.40731
15	18731.7781
16	18440.85428
17	18206.28495
18	17954.09882
19	17752.53832
20	17581.91607
21	17428.04672
22	17237.16618
23	17116.54072
24	16958.1231
25	16844.66784
26	16729.46337
27	16637.61861
28	16522.28097
29	16423.04044
30	16369.93982
31	16310.85949
32	16260.8523
33	16191.72096
34	16148.77797
35	16087.24977
36	16039.81486
37	15930.96262
38	15895.59587
39	15878.45836
40	15792.80307
41	15735.21281
42	15689.7322
43	15653.0729
44	15615.85617
45	15586.28154
46	15532.8526
47	15508.26834
48	15448.38711
49	15394.33064
50	15338.52306
51	15310.45818
52	15286.0844
53	15259.18928
54	15221.42214
55	15183.26547
56	15133.93127
57	15100.35634
58	15070.95434
59	15044.96749
60	15009.59046
61	14983.14522
62	14959.96983
63	14940.70316
64	14907.30775
65	14854.88137
66	14808.77437
67	14782.03315
68	14699.94405
69	14680.62094
70	14650.42935
71	14634.92863
72	14611.33273
73	14600.14267
74	14588.12361
75	14572.43682
76	14541.05342
77	14532.27179
78	14506.48192
79	14477.19463
80	14449.18916
81	14415.26028
82	14394.00669
83	14368.23356
84	14348.82054
85	14329.18317
86	14321.26991
87	14305.62356
88	14290.13847
89	14222.77673
90	14217.1239
91	14162.30197
92	14136.9576
93	14128.1443
94	14115.11464
95	14106.38563
96	14094.68943
97	14086.296
98	14066.40778
99	14056.82803
