iter	Passed	Remaining
0	1	138
1	2	129
2	3	125
3	5	121
4	6	120
5	7	118
6	8	117
7	10	116
8	11	114
9	12	113
10	13	111
11	14	109
12	16	107
13	17	106
14	18	104
15	19	103
16	20	102
17	22	101
18	23	100
19	24	98
20	26	97
21	27	96
22	28	95
23	29	93
24	30	92
25	32	91
26	33	90
27	34	88
28	35	87
29	37	86
30	38	85
31	39	83
32	40	82
33	41	81
34	43	80
35	44	78
36	45	77
37	46	76
38	47	74
39	49	73
40	50	72
41	51	71
42	52	69
43	53	68
44	55	67
45	56	66
46	57	64
47	58	63
48	59	62
49	61	61
50	62	59
51	63	58
52	64	57
53	65	56
54	67	54
55	68	53
56	69	52
57	70	51
58	71	49
59	73	48
60	74	47
61	75	46
62	76	45
63	77	43
64	79	42
65	80	41
66	81	40
67	82	38
68	83	37
69	85	36
70	86	35
71	87	34
72	88	32
73	89	31
74	91	30
75	92	29
76	93	27
77	94	26
78	95	25
79	96	24
80	98	23
81	99	21
82	100	20
83	101	19
84	103	18
85	104	16
86	105	15
87	106	14
88	107	13
89	109	12
90	110	10
91	111	9
92	112	8
93	113	7
94	115	6
95	116	4
96	117	3
97	118	2
98	119	1
99	120	0
